FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,8708950000,11,11,U,8,14,8,1351,5531171,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,9403400000,5,11,U,10,139,137,17978,70620654,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,199,1,1,2,3917399000,11,33,KG,128,135,128,565,2309686,0.0,92.33,0.4,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,199,1,1,2,7412200000,11,33,KG,543,571,543,7752,31702516,0.0,1267.31,5.43,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,199,1,1,2,8468100000,11,11,U,24,6,6,276,1129223,0.0,45.14,0.19,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,199,1,1,2,8481804000,11,11,U,100,26,24,288,1176210,0.0,47.02,0.2,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,199,1,8,2,3917321000,11,33,KG,55,59,55,1544,6097322,0.0,197.6,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,199,1,8,2,4015909000,11,11,U,114,33,33,1451,5730669,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,199,1,8,2,6109909000,11,11,U,570,69,65,3391,13391226,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,199,1,8,2,6115301000,11,19,2U,480,58,54,859,3392723,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,199,1,8,2,6212200000,11,11,U,1296,375,370,19985,78914927,0.0,0.0,0.0,0.0
