FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,1,6208210000,5,11,U,365,78,45,3723,15240473,3700.9,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,1,6211120000,5,11,U,3521,432,427,38446,153462247,35525.54,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,1,6211430000,5,11,U,523,70,67,4913,19982688,364.83,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,1,6217100000,5,11,U,625,83,80,4068,16521144,827.99,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,2,3304990000,5,33,KG,110,115,110,1450,5723641,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,2,3923210000,5,11,U,1100,79,76,495,1972558,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,2,4015909000,5,11,U,313,81,78,5290,21493955,0.0,514.17,0.0,60.39
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,2,4202220020,5,11,U,1,0,0,1,5686,0.0,0.08,0.02,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,2,4202320010,5,11,U,153,25,25,595,2350965,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,2,4202920090,5,11,U,89,39,37,2103,8592076,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,2,4202999000,5,11,U,37,14,13,875,3554465,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,2,4911100000,5,33,KG,5,6,5,4472,18304532,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,2,6101300000,5,11,U,84,36,35,2546,10400636,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,2,6102300000,5,11,U,325,125,120,9231,37549351,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,2,6104430000,5,11,U,1,0,0,52,205332,0.0,2.95,0.65,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,2,6104440000,5,11,U,3,1,1,141,556767,0.0,8.01,1.76,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,2,6104530000,5,11,U,3,1,1,85,334060,0.0,4.8,1.05,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,2,6104620000,5,11,U,279,109,105,6313,25531490,0.0,769.79,23.18,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,2,6104630000,5,11,U,1730,695,687,63186,252412703,0.0,4719.85,6.78,0.0
